Rock Name:	Minerals:	Description:	Rock Texture:
Basalt	Plagioclase; Pyroxene; Olivine; Quartz	Aphanitic extrusive igneous rock formed from the rapid cooling of low-viscosity lava rich in magnesium and iron. calcic plagioclase feldspar and pyroxene. Olivine can also be a significant constituent. Black/grey.	aphanitic
Granite	Plagioclase; Quartz; Biotite; K-feldpar	Coarse-grained (phaneritic) intrusive igneous rock composed mostly of quartz, alkali feldspar, and plagioclase. Pink/white/grey with black and clear/white.	porphyritic; granular
Conglomerate	Quartz; Hematite; Magnetite; Calcite	Coarse-grained clastic (fragments) sedimentary rock; Pebbles >2mm in size; set in a fine-grained matrix of sand; silt; commonly cemented with CaCO3; iron oxide; SiO2; or hardened clay	clastic
Limestone	Calcite; Aragonite; Dolomite; Quartz	Sedimentary rock with 50% or more CaCO3. Usually white; grey; tan, can have accessory minerals like fluorite, quartz, pyrite, etc. 	aphanitic; coarse; powdery
Shale	Talc; Muscovite; Biotite; Chlorite; Quartz	Fine-grained detrital sedimentary rock; consolidation of clay; silt; mud; breaks readily into thin layers; red; brown; black; or grey	aphanitic; smooth
Andesite	Plagioclase; Hornblende; Biotite; Pyroxene	intermediate type between silica-poor basalt and silica-rich rhyolite. It is fine-grained (aphanitic) to porphyritic in texture, and is composed predominantly of sodium-rich plagioclase plus pyroxene or hornblende. Black/white/grey.	phaneritic; granular
Chert	Quartz	hard, fine-grained sedimentary rock composed of microcrystalline or cryptocrystalline quartz. most often manifests as gray, brown, grayish brown and light green to rusty red[9][10] (occasionally dark green). Usually banded.	smooth; banded; aphanitic
Sandstone	Plagioclase; K-feldspar	 clastic sedimentary rock composed mainly of sand-sized (0.0625 to 2 mm) silicate grains. Sandstones comprise about 20–25% of all sedimentary rocks.[1] Most sandstone is composed of quartz or feldspar. Red/orange/tan/white.	coarse; granular; sandy
Iron Stone	Goethite; Hematite; Siderite	Iron-rich sedimentary rock; hard; coarsely banded or non-banded; and non-cherty	rusty; banded; smooth; aphanitic
Siltstone	Quartz; Plagioclase; K-feldspar; Talc; Muscovite; Biotite; Chlorite	Clastic sedimentary rock that is composed mostly of silt. It is a form of mudrock with a low clay mineral content, which can be distinguished from shale by its lack of fissility. Tan/grey.	aphanitic; powdery
Pumice	Obsidian	Glassy; highly vesicular; mostly silicic igneous rocks. White. 	vesicular
Slate	Quartz; Talc; Muscovite; Biotite; Chlorite	Fine-grained, foliated, homogeneous metamorphic rock derived from an original shale-type sedimentary rock composed of clay or volcanic ash through low-grade regional metamorphism. It is the finest grained foliated metamorphic rock. Grey.	foliated; fissile; aphanitic
Gneiss	Quartz; Plagioclase; K-feldspar; Talc; Muscovite; Biotite; Chlorite; Hornblende	Gneiss nearly always shows a banded texture characterized by alternating darker and lighter colored bands and without a distinct cleavage.	banded; foliated; granular; phaneritic
Marble	Calcite; Dolomite; Siderite	Marble is a metamorphic rock composed of recrystallized carbonate minerals, most commonly calcite or dolomite. Marble is typically not foliated, although there are exceptions. Mostly white.	aphanitic; granular
Schist	Quartz; Talc; Muscovite; Biotite; Chlorite; Hornblende	medium-grained metamorphic rock showing pronounced schistosity. This texture reflects a high content of platy minerals, such as micas, talc, chlorite, or graphite. These are often interleaved with more granular minerals, such as feldspar or quartz. Grey/black/white.	foliated; granular; aphanitic
Diorite	Hornblende; Plagioclase; Biotite; Quartz	Diorite is an intrusive igneous rock composed principally of the silicate minerals plagioclase feldspar (typically andesine), biotite, hornblende, and sometimes pyroxene. The chemical composition of diorite is intermediate, between that of mafic gabbro and felsic granite.[3][4] It is distinguished from gabbro on the basis of the composition of the plagioclase species; the plagioclase in diorite is richer in sodium and poorer in calcium.	phaneritic; granular
Rhyolite	Quartz; Plagioclase; K-feldspar	It is generally glassy or fine-grained (aphanitic) in texture, but may be porphyritic, containing larger mineral crystals (phenocrysts) in an otherwise fine-grained groundmass. The mineral assemblage is predominantly quartz, sanidine, and plagioclase. It is the extrusive equivalent to granite	aphanitic; porphyritic
Phyllite	Quartz; Muscovite; Chlorite	A fine to medium-grained metamorphic rock characterised by a strong foliation and is lustrous; intermediate in grade between slate and schist	phyllitic; foliated; fissile
Quartzite	Quartz	Metamorphosed quartz-sandstone (metaquartzite) or unmetamorphosed sandstone; consisting chiefly of quartz grains that are so completely cemented with secondary silica (orthoquartzite). White color	granular; aphanitic
Mudstone	Quartz; Muscovite; Biotite; Chlorite; Plagioclase; K-feldspar; Smectite; Illite; Goethite	Fine-grained sedimentary rock whose original constituents were clays or muds. Mudstone is distinguished from shale by its lack of fissility	clastic; aphanitic; smooth
Scoria	Obsidian	Highly vesicular; basaltic glass, darker than pumice. 	vesicular; 
Dacite	Plagioclase; Quartz; K-feldpar	Dacite is a fine-grained igneous rock that is normally light in color. It is often porphyritic.	 aphanitic; porphyritic
Breccia	Quartz; Hematite; Magnetite; Calcite	A coarse-grained clastic rock; composed of angular broken rock fragments held together by a mineral cement or in a fine-grained matrix; it differs from conglomerate in that the fragments have sharp edges and unworn corners.	clastic
Serpentinite	Olivine; Pyroxene; Chlorite	A rock composed of one or more serpentine group minerals formed by serpentinization (hydration and metamorphic transformation) of rock consisting almost wholly of ferromagnesian silicate minerals	foliated; granular
Gabbro	Plagioclase; Pyroxene; Olivine; Magnetite	Gabbro is a coarse-grained, dark-colored, intrusive igneous rock. It is usually black or dark green in color and composed mainly of the minerals plagioclase and augite.	phaneritic; porphyritic
Peridotite	Olivine; Pyroxene; Chlorite; Biotite; Muscovite	Dense, coarse-grained igneous rock consisting mostly of the silicate minerals olivine and pyroxene. Peridotite is ultramafic, as the rock contains less than 45% silica. Dark green/grey.	phaneritic; porphyritic
Kimberlite	Pyroxene; Olivine; Calcite; Phlogopite	Dark-coloured, heavy, often altered and brecciated (fragmented), intrusive igneous rock that contains diamonds in its rock matrix.	porphyritic; granular; brecciated
Amphibolite	Plagioclase; Hornblende; Tremolite	Group of rocks with mainly of amphibole and plagioclase, and little or no quartz. It is typically dark-colored and dense, with a weakly foliated or schistose (flaky) structure	 foliated; granular                                         
Calcite	Calcite	Mineral with a vitreous luster; three perfect cleavage planes; and a common rhombohedral form. It is often white or clear in color	
Quartz	Quartz	Very common mineral with vitreous luster; no cleavage; and many colors; commonly white or clear. It's most common form is a hexagonal prism; but it can be amorphous	
Fluorite	Fluorite	Mineral with a vitreous to earthy luster; one cleavage plane; and a common octahedral form. It has many colors.	
